"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","72075","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","73646","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","75695","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","79098","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","80727","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","82697","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","84489","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","86479","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","93724","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","54013","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","55227","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","56330","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","58576","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","59055","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","60516","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","62183","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","63944","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Total current consumption","Dollars","81","units","0","v54325509","1.1.2","68980","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7850","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7791","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7760","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7934","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8109","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8629","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8784","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8968","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","10311","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","5709","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","5573","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","5564","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","5718","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","5880","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","6126","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","6176","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","6364","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food purchased from stores","Dollars","81","units","0","v54325511","1.1.4","7536","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2141","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2218","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2195","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2216","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2229","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2502","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2608","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2604","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food purchased from restaurants","Dollars","81","units","0","v54325512","1.1.5","2775","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15020","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15215","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15807","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","16361","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17160","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17509","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","18032","","","","0"
